Crop,Disease,Temperature(C),Humidity(%),Rainfall(mm),Soil_pH,Soil_Moisture(%),Leaf_Spots,Wilting
Apple,Apple Scab,27.5,47,239,7.5,17,1,1
Groundnut,Tikka Disease,38.4,48,275,8.1,66,1,1
Maize,Downy Mildew,40.7,47,164,6.6,41,1,0
Mango,Anthracnose,16.0,80,295,7.1,87,1,1
Potato,Early Blight,24.7,56,146,7.0,45,1,1
Apple,Fire Blight,42.8,80,116,6.5,17,1,0
Onion,Healthy,27.7,80,116,7.9,90,0,0
Potato,Healthy,34.6,48,111,7.5,84,0,0
Cotton,Boll Rot,33.1,84,128,7.8,82,1,1
Mango,Healthy,20.1,65,0,7.9,37,0,0
Chilli,Leaf Curl,35.0,86,275,5.7,12,1,1
Sugarcane,Smut,15.5,94,58,6.6,85,1,0
Soybean,Healthy,44.6,76,378,4.9,81,0,0
Banana,Sigatoka,43.5,81,83,7.9,28,1,0
Tomato,Septoria Leaf Spot,44.9,91,263,5.1,39,1,0
Groundnut,Healthy,28.9,63,62,7.7,88,0,0
Tomato,Late Blight,22.2,91,26,4.9,44,0,0
Onion,Healthy,15.7,36,80,4.8,57,0,0
Onion,Downy Mildew,43.6,80,194,7.5,26,1,0
Maize,Downy Mildew,36.5,50,341,6.6,63,1,1
Maize,Downy Mildew,39.0,64,0,5.4,80,0,0
Rice,Brown Spot,24.7,34,304,8.0,53,1,1
Cotton,Boll Rot,44.0,60,36,6.3,16,1,1
Groundnut,Healthy,26.7,88,370,5.6,76,0,0
Rice,Healthy,32.7,75,232,5.6,55,0,0
Sugarcane,Healthy,20.3,76,303,8.2,30,0,0
Rice,Blast,44.7,86,282,5.1,24,1,1
Wheat,Smut,33.1,68,315,7.9,12,1,1
Groundnut,Tikka Disease,29.9,54,213,7.7,35,1,0
Onion,Purple Blotch,44.2,63,263,7.6,88,1,1
Apple,Fire Blight,31.5,50,26,5.2,16,1,1
Wheat,Powdery Mildew,18.3,48,22,7.3,53,1,0
